Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 12:25:00;1,08561;1,08607;1,08552;1,08556;1,085352381;1,086015714;1,083814186;0;0;1;0;32,47863248;42,79260054;0;0;1,087068308;1,083799692;0;0;57,15537279;0;0;0;0;1;-0,005
2023-01-18 12:30:00;1,08557;1,08609;1,08529;1,08601;1,085461429;1,085878571;1,083978372;0;0;1;0;51,70940171;42,00437642;0;0;1,087055202;1,084003798;0;0;60,82553153;0;0;0;0;0;0,045
2023-01-18 12:35:00;1,086;1,08615;1,08586;1,08586;1,085545238;1,08583;1,084117907;0;0;1;0;38,75598086;40,98133835;0;0;1,087024151;1,084190849;0;0;59,01091745;0;0;0;0;0;-0,015
2023-01-18 12:40:00;1,08585;1,08595;1,08566;1,08572;1,085612857;1,085752857;1,084256047;0;0;1;0;23,24324324;37,90287527;0;0;1,086867806;1,084528194;0;0;57,29292667;0;0;0;0;0;-0,014
2023-01-18 12:45:00;1,08573;1,08584;1,08538;1,08555;1,085690952;1,085744286;1,084369535;0;0;1;0;14,05405405;25,35109272;0;1;1,086804197;1,084683803;0;0;55,19172376;0;0;0;0;0;-0,017
2023-01-18 12:50:00;1,08565;1,0858;1,08524;1,08535;1,085725238;1,085665714;1,08446186;0;0;1;1;5,789473684;14,36225699;0;1;1,086705861;1,084862139;0;0;52,74107151;0;0;0;0;0;-0,02
2023-01-18 12:55:00;1,08534;1,08537;1,08495;1,08525;1,085758571;1,085614286;1,084560698;0;0;1;1;13,69863014;11,18071929;0;1;1,086712679;1,084843321;0;0;51,50952736;0;0;0;0;0;-0,01
2023-01-18 13:00:00;1,08524;1,0854;1,08506;1,08521;1,085750952;1,085564286;1,084655581;0;0;1;1;11,87214612;10,45341665;0;1;1,086677298;1,084908702;0;0;50,99656367;0;0;0;0;0;-0,004
2023-01-18 13:05:00;1,08521;1,08527;1,0847;1,08479;1,085745238;1,08539;1,084744186;0;0;1;1;3,930131004;9,833635753;0;1;1,086736968;1,084798032;0;1;45,83511763;0;0;0;0;0;-0,042
2023-01-18 13:10:00;1,08479;1,0849;1,0845;1,0845;1,085707143;1,085195714;1,084820233;0;0;1;1;0;5,267425708;0;1;1,086835289;1,084591711;0;1;42,62701131;0;0;0;0;0;-0,029
